division_numeric_code,start_date,end_date,is_in_union,age_range,data_series_type,group_type_relative_to_baseline,contraceptive_use_modern,contraceptive_use_traditional,contraceptive_use_any,unmet_need_modern,unmet_need_any,is_pertaining_to_methods_used_since_last_pregnancy,pertaining_to_methods_used_since_last_pregnancy_reason,has_geographical_region_bias,geographical_region_bias_reason,has_non_pregnant_and_other_positive_biases,non_pregnant_and_other_positive_biases_reason,age_group_bias,modern_method_bias,has_traditional_method_bias,traditional_method_bias_reason,has_absence_of_probing_questions_bias,se_modern,se_traditional,se_unmet_need,se_log_r_modern_no_use,se_log_r_traditional_no_use,se_log_r_unmet_no_need,source_id,record_id
716,2005.580811,2006.158936,Y,15-49,DHS,MW,0.584351909,0.01802477,NA,NA,0.154810935,N,NA,N,,N,NA,None,None,N,NA,N,0.011269621,0.002027918,0.008865093,0.04764325,0.119572691,0.066947654,1698,Y_803
716,1999.665771,1999.997314,Y,15-49,DHS,MW,0.503527188,0.031898995,NA,NA,0.16740496,N,NA,N,,N,NA,None,None,N,NA,N,0.011447794,0.004047243,0.007305562,0.044641924,0.127827868,0.059539279,1700,Y_805
716,1994.49585,1994.912354,Y,15-49,DHS,MW,0.421581806,0.059642267,NA,NA,0.190671673,N,NA,N,,N,NA,None,None,N,NA,N,0.010150795,0.005204982,0.006880269,0.042307368,0.094410422,0.052771373,1701,Y_806
686,2005.084961,2005.411011,Y,15-49,DHS,MW,0.103107992,0.015070556,NA,NA,0.319759501,N,NA,N,,N,NA,None,None,N,NA,N,0.006677956,0.001751817,0.006047418,0.0727369,0.119873669,0.029526405,1705,Y_809
450,1992.331543,1992.915039,Y,15-49,DHS,MW,0.051251208,0.115939322,NA,NA,0.323144513,N,NA,N,,N,NA,None,None,N,NA,N,0.005046458,0.008698574,0.010244804,0.108461796,0.087682376,0.05275803,1708,Y_811
466,2001,2001.411011,Y,15-49,DHS,MW,0.069789098,0.01095141,NA,NA,0.296266744,N,NA,N,,N,NA,None,None,N,NA,N,0.004241218,0.001496059,0.007563459,0.065455579,0.138453974,0.038804811,1714,Y_816
466,1995.832886,1996.413696,Y,15-49,DHS,MW,0.044822002,0.022486869,NA,NA,0.274858385,N,NA,N,,N,NA,None,None,N,NA,N,0.003263761,0.002097107,0.007427166,0.077084833,0.096716164,0.038506962,1715,Y_817
646,2005.084961,2005.578125,Y,15-49,DHS,MW,0.098104574,0.075714611,NA,NA,0.384657569,N,NA,N,,N,NA,None,None,N,NA,N,0.004912974,0.004122683,0.007100127,0.055814217,0.059221194,0.032759825,1717,Y_819
800,1995.161621,1995.662964,Y,15-49,DHS,MW,0.078046174,0.070371413,NA,NA,0.30099016,N,NA,N,,N,NA,None,None,N,NA,N,0.00575766,0.004462227,0.008188786,0.08116726,0.069577105,0.043731632,1723,Y_823
450,1997.665771,1997.997314,Y,15-49,DHS,MW,0.09749365,0.096991195,NA,NA,0.276610058,N,NA,N,,N,NA,None,None,N,NA,N,0.008323534,0.006652886,0.008321715,0.095215193,0.076484427,0.0450506,1729,Y_828
686,1992.835571,1993.662964,Y,15-49,DHS,MW,0.047865169,0.026966292,NA,NA,0.288314607,N,NA,N,,N,NA,None,None,N,NA,N,0.005172507,0.003832881,0.008807748,0.114352562,0.147225031,0.044966385,1730,Y_829
562,1992.164429,1992.49585,Y,15-49,DHS,MW,0.022528521,0.021886804,NA,NA,0.191861364,N,NA,N,,N,NA,None,None,N,NA,N,0.002085594,0.003032502,0.009976576,0.095043203,0.141903738,0.065091931,1731,Y_830
450,2003.832886,2004.246582,Y,15-49,DHS,MW,0.183087983,0.088296529,NA,NA,0.244841193,N,NA,N,,N,NA,None,None,N,NA,N,0.012858724,0.008028428,0.009799823,0.090701746,0.106839123,0.052994581,1734,Y_833
768,1998.084961,1998.411011,Y,15-49,DHS,MW,0.06973778,0.164937861,NA,NA,0.349743667,N,NA,N,,N,NA,None,None,N,NA,N,0.004592676,0.006681595,0.008907002,0.072325848,0.049563349,0.039970349,1735,Y_834
562,2006,2006.411011,Y,15-49,DHS,MW,0.096746582,0.015581833,NA,NA,0.16076352,N,NA,N,,N,NA,None,None,N,NA,N,0.0069136,0.002003106,0.005826125,0.079705952,0.132500924,0.046801706,1736,Y_835
324,1992.331543,1992.580811,Y,15-49,DHS,MW,0.01,0.007,NA,NA,0.247,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,1738,Y_837
324,1999.328735,1999.578125,Y,15-49,DHS,MW,0.042167034,0.020122226,NA,NA,0.248155176,N,NA,N,,N,NA,None,None,N,NA,N,0.003219859,0.002298028,0.006898907,0.080097093,0.117077567,0.037950645,1739,Y_838
324,2005.084961,2005.493164,Y,15-49,DHS,MW,0.056701426,0.034283616,NA,NA,0.219147354,N,NA,N,,N,NA,None,None,N,NA,N,0.004167635,0.004512319,0.006484891,0.078284912,0.136696257,0.038364946,1740,Y_839
566,1990.246582,1990.830078,Y,15-49,DHS,MW,0.03543658,0.024595114,NA,NA,0.215192429,N,NA,N,,N,NA,None,None,N,NA,N,0.003797914,0.003964913,0.010453936,0.113192145,0.167317908,0.067233279,1742,Y_841
288,1998.832886,1999.158936,Y,15-49,DHS,MW,0.132978921,0.086705018,NA,NA,0.34738857,N,NA,N,,N,NA,None,None,N,NA,N,0.006784147,0.006039933,0.009424952,0.059431366,0.077011733,0.045005321,1751,Y_850
288,2003.49585,2003.830078,Y,15-49,DHS,MW,0.186649293,0.065096466,NA,NA,0.344760022,N,NA,N,,N,NA,None,None,N,NA,N,0.008791391,0.005408834,0.009079522,0.058700759,0.090117732,0.04063893,1752,Y_851
288,1988.084961,1988.49585,Y,15-49,DHS,MW,0.051647655,0.076996198,NA,NA,0.352,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,1753,Y_852
288,1993.665771,1994.158936,Y,15-49,DHS,MW,0.101123596,0.101435705,NA,NA,0.368913858,N,NA,N,,N,NA,None,None,N,NA,N,0.006150405,0.006570307,0.009576659,0.070439329,0.074744537,0.049266848,1754,Y_853
508,2003.580811,2004.082153,Y,15-49,DHS,MW,0.20783134,0.047373969,NA,NA,0.188965256,N,NA,N,,N,NA,None,None,N,NA,N,0.007720315,0.0035055109999999998,0.00635479,0.047682395,0.079244934,0.043601137,1758,Y_857
204,2001.580811,2001.912354,Y,15-49,DHS,MW,0.071832117,0.114098882,NA,NA,0.279315072,N,NA,N,,N,NA,None,None,N,NA,N,0.004613796,0.005660683,0.00743533,0.070687631,0.057211353,0.038805846,1761,Y_859
508,1997.161621,1997.578125,Y,15-49,DHS,MW,0.050730058,0.005425149,NA,NA,0.249109235,N,NA,N,,N,NA,None,None,N,NA,N,0.007290156,0.001385674,0.010586623,0.151861676,0.259233791,0.058058029,1767,Y_865
854,1992.917847,1993.243896,Y,15-49,DHS,MW,0.04185774,0.206976987,NA,NA,0.245871983,N,NA,N,,N,NA,None,None,N,NA,N,0.003190207,0.014040702,0.009160855,0.08297909,0.086720372,0.047196643,1776,Y_874
854,1998.832886,1999.243896,Y,15-49,DHS,MW,0.048296047,0.070394321,NA,NA,0.302921865,N,NA,N,,N,NA,None,None,N,NA,N,0.003818508,0.008329421,0.008909653,0.084225153,0.12798552,0.042075263,1777,Y_875
204,1996.416382,1996.665771,Y,15-49,DHS,MW,0.034247397,0.129800229,NA,NA,0.276679259,N,NA,N,,N,NA,None,None,N,NA,N,0.003438431,0.007541354,0.008035259,0.104695609,0.067152822,0.043306793,1780,Y_878
466,1987.161621,1987.662964,Y,15-49,DHS,MW,0.012844584,0.033489881,NA,NA,0.229,N,NA,N,,N,NA,None,None,N,NA,N,NA,NA,NA,NA,NA,NA,1784,Y_882
